cantidad de nodos, ciclos de reloj 
20,62521
30,630539
40,2318117.5
50,4322976.5
60,7315407
70,12727689
80,21275028.5
90,37147364.5
100,56919957.5
110,86315286.5
120,117708953
130,161122066
140,217128076.5
150,284181549.5
160,377067855.5
170,481816105.5
180,606998363.5
190,755718624
200,931894346
210,1141243228
220,1382314954.5
230,1661401172.5
240,1976781876.5
250,2347865066
260,2764706046.5
270,3246517221
280,3784181948.5
290,4393786877
300,5066113098
310,5821356208.5
320,6647658510
330,7556316498.5
340,8562966494
350,9668350574.5
360,10857265865.5
370,12174478205
380,13600059221
390,15178709546
400,16867019728
410,18698421390
420,20659458975
430,22777700613
440,25050004876.5
450,27503335551
460,30120765934.5
470,32935239102.5
480,36022842373
490,39307737876
500,42805113432
