cantidad de nodos, ciclos de reloj 
20,304479
30,4542142.5
40,19793263
50,56874509
60,116715037
70,220926604
80,378296030.5
90,626805160
100,985313002
110,1479475741
120,2136293437.5
130,3008119769
140,4139998080
150,5529078636.5
160,7243092962.5
170,9386281209.5
180,12070613090.5
190,15221996575.5
200,18927716063
210,23339912563
220,28320207778.5
230,34168133590
240,40865515323
250,48533416855.5
260,57305264771
270,67416703910
280,78800217150.5
290,91569396132.5
300,105628180579.5
310,121306327001.5
320,138695882758.5
330,158177323778
340,179635827659.5
350,203573668447.5
360,229712908811.5
370,260435954180.5
380,291547598171
390,325528121661
400,361823072581.5
410,401397512383.5
420,444473054154
430,489653940077.5
440,537923921688.5
450,590240517584
460,648402556631
470,708758383698.5
480,773332810359.5
490,844899084747
500,920438505609
